playerID,gamesBatted,totalRBI,totalHR,gamesPitched,pitchingERA,opponentBattingAvg,gamesFielded,totalPutOut,totalGames,totalSeasons,managerWins,totalAwards,allstarAppearances,porportionalsal,class
smithch06,36,5,0,34,7.93,0.2565,34,21,36,2,0,0,0,0.10530000,0
stanfja01,23,0,0,23,9.200000000000001,0.27366666666666667,23,7,23,3,0,0,0,0.12090000,0
staniro01,82,1,0,82,17.85,0.2976666666666667,82,6,82,3,0,0,0,0.14440000,0
stephra01,19,1,1,0,0,0,17,59,19,3,0,0,0,0.18310000,0
tessmja01,22,0,0,22,31.470000000000002,0.22175,22,0,22,4,0,0,0,0.11025000,0
niekrla01,195,79,17,0,0,0,138,991,195,4,0,0,0,0.12490000,0
nolanjo01,621,178,27,0,0,0,444,1940,621,11,0,0,0,0.71730000,0
oconnja02,129,0,0,129,27.18,0.24583333333333332,129,10,129,6,0,0,0,0.19550000,0
prokolu01,58,0,0,56,14.66,0.2743333333333334,56,12,58,3,0,0,0,0.11706667,0
myersro01,167,1,0,167,43.79,0.27977777777777774,167,20,167,9,0,0,0,0.12415000,0
newsowa01,489,120,34,0,0,0,316,464,489,8,0,0,0,0.18990000,0
obriepe03,1567,736,169,0,0,0,1438,11737,1567,12,0,0,0,1.58785000,0
palacvi01,134,0,0,134,35.95,0.24874999999999997,134,25,134,8,0,0,0,0.17314000,0
parkecl01,62,0,0,62,29.490000000000002,0.2956,62,13,62,4,0,0,0,0.21365000,0
peltida01,108,28,1,0,0,0,84,173,108,3,0,0,0,0.11160000,0
pottsmi01,24,0,0,24,7.15,0.319,24,3,24,1,0,0,0,0.10600000,0
adamsji01,1,0,0,0,0,0,1,4,1,1,0,0,0,1.00000000,0
